Class,Precision,Recall,F1-Score,Support
FTP-Patator,1.0,1.0,1.0,47.0
BENIGN,0.9999778491527301,0.9999778491527301,0.9999778491527301,45145.0
weighted avg,0.9999594207802184,0.9999592302674495,0.9999592767629697,49056.0
DoS_Hulk,1.0,0.9997339010111762,0.9998669328010645,3758.0
macro avg,0.9976580136900517,0.9999279375409766,0.9987874865682609,49056.0
SSH-Patator,0.9906542056074766,1.0,0.9953051643192489,106.0
