Class,Precision,Recall,F1-Score,Support
DoS_Hulk,0.9999285050403947,0.999857020303117,0.9998927613941019,13988.0
BENIGN,0.9994861388121968,0.9929997317573356,0.9962323772484201,115567.0
weighted avg,0.9949219180316647,0.9948578508228535,0.9948682538720562,182414.0
PortScan,0.9847296505584638,0.998926400950902,0.9917772236709367,52161.0
macro avg,0.9508672224259251,0.9541958584242571,0.9524683443162386,182414.0
SSH-Patator,0.9320175438596491,0.915948275862069,0.9239130434782609,464.0
FTP-Patator,0.8381742738589212,0.8632478632478633,0.8505263157894737,234.0
